img_url,part_name,part_cat_name,color_name,rgb
https://cdn.rebrickable.com/media/parts/elements/306224.jpg,Brick Round 1 x 1 Open Stud,Bricks Round and Cones,Yellow,F2CD37
https://cdn.rebrickable.com/media/parts/elements/4593557.jpg,"Large Figure Skeletal, Limb with Ball Joint and Ball Socket, Short",Large Buildable Figures,Black,05131D
https://cdn.rebrickable.com/media/parts/elements/4548180.jpg,Slope 30° 1 x 2 x 2/3,Bricks Sloped,Black,05131D
https://cdn.rebrickable.com/media/parts/elements/302105.jpg,Plate 2 x 3,Plates,Tan,E4CD9E
https://cdn.rebrickable.com/media/parts/elements/6485427.jpg,Slope 45° 2 x 1 with 2/3 Inverted Cutout and no stud,Bricks Sloped,Bright Light Orange,F8BB3D
https://cdn.rebrickable.com/media/parts/elements/4569106.jpg,Hair Tousled with Side Part,Minifig Headwear,Black,05131D
https://cdn.rebrickable.com/media/parts/elements/4212529.jpg,Hook with Towball,"Supports, Girders and Cranes",Dark Bluish Gray,6C6E68
https://cdn.rebrickable.com/media/parts/elements/302001.jpg,Plate 2 x 4,Plates,White,FFFFFF
https://cdn.rebrickable.com/media/parts/elements/6262186.jpg,Shield Round with Stud and Raised Rim [Plain],Minifig Accessories,Pearl Copper,B46A00
https://cdn.rebrickable.com/media/parts/elements/4211573.jpg,Technic Bush 1/2 Smooth with Axle Hole Semi-Reduced,Technic Bushes,Light Bluish Gray,A0A5A9
https://cdn.rebrickable.com/media/parts/elements/6051921.jpg,Tile 1 x 1 with Groove,Tiles,Trans-Light Blue,AEEFEC
https://cdn.rebrickable.com/media/parts/elements/246023.jpg,Tile Special 2 x 2 with Top Pin,Tiles Special,Blue,0055BF
https://cdn.rebrickable.com/media/parts/elements/6469446.jpg,Plate Special 2 x 2 x 2/3 with Two Studs On Side and Two Raised - Updated Version,Plates Special,Red,C91A09
https://cdn.rebrickable.com/media/parts/elements/459921.jpg,Tap 1 x 1 without Hole in Spout,Minifig Accessories,Red,C91A09
https://cdn.rebrickable.com/media/parts/elements/4140429.jpg,Technic Beam 1 x 5 Thick,Technic Beams,Black,05131D
https://cdn.rebrickable.com/media/parts/elements/3005744.jpg,Plate Round 1 x 1 with Solid Stud,Plates Round Curved and Dishes,Trans-Yellow,F5CD2F
https://cdn.rebrickable.com/media/parts/elements/6218089.jpg,"Tile 2 x 2 Curved, Macaroni",Tiles Round and Curved,Olive Green,9B9A5A
https://cdn.rebrickable.com/media/parts/elements/387326.jpg,Technic Link Tread,Technic Special,Black,05131D
https://cdn.rebrickable.com/media/parts/elements/6529629.jpg,Slope Curved 4 x 1 Double with No Studs,Bricks Curved,Reddish Orange,CA4C0B
https://cdn.rebrickable.com/media/parts/elements/4264578.jpg,Brick 2 x 2 Corner,Bricks,Dark Blue,0A3463
https://cdn.rebrickable.com/media/parts/elements/4539442.jpg,Technic Plate Rotor 6 Blade with Clip Ends Connected [aka Water Wheel] - Hollow Studs,Plates Special,Black,05131D
https://cdn.rebrickable.com/media/parts/elements/4210719.jpg,Plate 1 x 1,Plates,Dark Bluish Gray,6C6E68
https://cdn.rebrickable.com/media/parts/elements/4211252.jpg,Technic Brick 1 x 2 [1 Pin Hole],Technic Bricks,Reddish Brown,582A12
https://cdn.rebrickable.com/media/parts/elements/302224.jpg,Plate 2 x 2,Plates,Yellow,F2CD37
https://cdn.rebrickable.com/media/parts/elements/300401.jpg,Brick 1 x 2,Bricks,White,FFFFFF
https://cdn.rebrickable.com/media/parts/elements/303721.jpg,Slope 45° 2 x 4,Bricks Sloped,Red,C91A09
https://cdn.rebrickable.com/media/parts/elements/6299813.jpg,"Plant, Flower, Plate Round 1 x 1 with 5 Petals",Plants and Animals,Yellow,F2CD37
https://cdn.rebrickable.com/media/parts/elements/6099412.jpg,Plate 3 x 3 Cross,Plates,White,FFFFFF
https://cdn.rebrickable.com/media/parts/elements/6407767.jpg,Slope 45° 2 x 1 Inverted with 2/3 Cutout,Bricks Sloped,Light Bluish Gray,A0A5A9
https://cdn.rebrickable.com/media/parts/elements/6079617.jpg,Plate 2 x 2,Plates,Olive Green,9B9A5A
https://cdn.rebrickable.com/media/parts/elements/4263416.jpg,Plate Special 1 x 1 with Tooth,Plates Special,Pearl Light Gray,9CA3A8
https://cdn.rebrickable.com/media/parts/elements/6039479.jpg,Plate Special 1 x 2 with 5.9mm Centre Side Towball,Plates Special,Dark Bluish Gray,6C6E68
https://cdn.rebrickable.com/media/parts/elements/6093038.jpg,Slope Curved 2 x 2 x 2/3,Bricks Curved,Dark Tan,958A73
https://cdn.rebrickable.com/media/parts/ldraw/0/3644.png,Door 1 x 4 x 6,Windows and Doors,Black,05131D
https://cdn.rebrickable.com/media/parts/elements/4162204.jpg,Tile Special 1 x 2 Grille with Bottom Groove,Tiles Special,Dark Red,720E0F
https://cdn.rebrickable.com/media/parts/elements/300421.jpg,Brick 1 x 2,Bricks,Red,C91A09
https://cdn.rebrickable.com/media/parts/elements/4521209.jpg,Glass for Window 1 x 2 x 2 Flat,Windows and Doors,Trans-Clear,FCFCFC
https://cdn.rebrickable.com/media/parts/elements/4566522.jpg,Plate Round 1 x 1 with Solid Stud,Plates Round Curved and Dishes,Dark Purple,3F3691
https://cdn.rebrickable.com/media/parts/elements/301021.jpg,Brick 1 x 4,Bricks,Red,C91A09
https://cdn.rebrickable.com/media/parts/elements/6100769.jpg,Tile 1 x 3,Tiles,Reddish Brown,582A12
